axe	datetime(Z)	P(lat,lon)	Q(lat,lon)	f(Hz)	h(ft)
Granville - Ouessant	2019-02-27T16:00:00	48.460094,-5.083544	48.881230,-1.563785	118.1e6	1000
Lézignan-Corbières - Chambéry	2019-06-28T14:00:00	43.173414,2.738417	45.638015, 5.882924	121.2e6	QFE
Montpellier - Minorque	2017-07-12T19:00:00	43.579469, 3.963943	39.863116, 4.220909	118.2e6	QFE
Amsterdam – Montdidier	2016-06-10T07:00:00	52.304890, 4.756485	49.672010, 2.571629	119.9e6	QFE
Le Bourget – St Cyr l’Ecole	2016-08-13T07:00:00	48.962098, 2.438892	48.808609, 2.072741	121.95e6	QFE
Castres-Mazamet – Bilbao	2019-01-15T03:00:00	43.554465, 2.289742	43.302212, -2.914873	118.5e6	2300
Castres-Mazamet – Bilbao	2018-12-11T01:00:00	43.554465, 2.289742	43.302212, -2.914873	118.5e6	2000
Castres-Mazamet – Bilbao	2017-11-10T14:00:00	43.554465, 2.289742	43.302212, -2.914873	118.5e6	QFE
Castres-Mazamet – Bilbao	2017-11-15T14:00:00	43.554465, 2.289742	43.302212, -2.914873	118.5e6	QFE
Castres-Mazamet – Bilbao	2017-11-17T15:00:00	43.554465, 2.289742	43.302212, -2.914873	118.5e6	QFE
